Index,Pourcentage
343,0.09767332
344,0.09765193
345,0.09766146
346,0.09765853
347,0.09765805
348,0.09765220
349,0.09767425
350,0.09763630
351,0.09767120
352,0.09766289
353,0.09765017
354,0.09766884
355,0.09765892
356,0.09765153
357,0.09763734
358,0.09766429
359,0.09765633
360,0.09764413
361,0.09765147
362,0.09768234
363,0.09763860
364,0.09765008
365,0.09768029
366,0.09768032
367,0.09764625
368,0.09765387
369,0.09764335
370,0.09764356
371,0.09764227
372,0.09764924
373,0.09764149
374,0.09765948
375,0.09766472
376,0.09765781
377,0.09765870
378,0.09764652
379,0.09765402
380,0.09766105
381,0.09765529
382,0.09765977
383,0.09767837
384,0.09767998
385,0.09766785
386,0.09763509
387,0.09765293
388,0.09765981
389,0.09765135
390,0.09765315
391,0.09765873
392,0.09765551
393,0.09763698
394,0.09766278
395,0.09762821
396,0.09763750
397,0.09765675
398,0.09763962
399,0.09764596
400,0.09767305
401,0.09766777
402,0.09763250
403,0.09765136
404,0.09764139
405,0.09765987
406,0.09765322
407,0.09767338
408,0.09764481
409,0.09766730
410,0.09764063
411,0.09767492
412,0.09764933
413,0.09769193
414,0.09766388
415,0.09763907
416,0.09766291
417,0.09765057
418,0.09765354
419,0.09767609
420,0.09764858
421,0.09765748
422,0.09767013
423,0.09765818
424,0.09766033
425,0.09768059
426,0.09766389
427,0.09765265
428,0.09766883
429,0.09763790
430,0.09765509
431,0.09765221
432,0.09764957
433,0.09765464
434,0.09767071
435,0.09763605
436,0.09765421
437,0.09763256
438,0.09766453
439,0.09764963
440,0.09769133
441,0.09764075
442,0.09763905
443,0.09764383
444,0.09765403
445,0.09764862
446,0.09768047
447,0.09765313
448,0.09765733
449,0.09766147
450,0.09767753
451,0.09767305
452,0.09766709
453,0.09765636
454,0.09767535
455,0.09764510
456,0.09763530
457,0.09765285
458,0.09766685
459,0.09764456
460,0.09765401
461,0.09766099
462,0.09765258
463,0.09767439
464,0.09765210
465,0.09765279
466,0.09762879
467,0.09765050
468,0.09764929
469,0.09764618
470,0.09769505
471,0.09765746
472,0.09766721
473,0.09764411
474,0.09763205
475,0.09765565
476,0.09764115
477,0.09764052
478,0.09766750
479,0.09763663
480,0.09766247
481,0.09765999
482,0.09763355
483,0.09765730
484,0.09766438
485,0.09764888
486,0.09765225
487,0.09765725
488,0.09767794
489,0.09765339
490,0.09766673
491,0.09764032
492,0.09764293
493,0.09765162
494,0.09766548
495,0.09768899
496,0.09763786
497,0.09767398
498,0.09766586
499,0.09763342
500,0.09766208
501,0.09766221
502,0.09768798
503,0.09763710
504,0.09766462
505,0.09766462
506,0.09766183
507,0.09765975
508,0.09765433
509,0.09765283
510,0.09764446
511,0.09766796
512,0.09763584
513,0.09766226
514,0.09765487
515,0.09763857
516,0.09766231
517,0.09764552
518,0.09766876
519,0.09763404
520,0.09766800
521,0.09764082
522,0.09764068
523,0.09765751
524,0.09767958
525,0.09767717
526,0.09765901
527,0.09766095
528,0.09763026
529,0.09764314
530,0.09766548
531,0.09765504
532,0.09764916
533,0.09765334
534,0.09766978
535,0.09766422
536,0.09766615
537,0.09762458
538,0.09764628
539,0.09763800
540,0.09765247
541,0.09765730
542,0.09764156
543,0.09765843
544,0.09762349
545,0.09766121
546,0.09766379
547,0.09765907
548,0.09766894
549,0.09767559
550,0.09766859
551,0.09763491
552,0.09765876
553,0.09766363
554,0.09767853
555,0.09765156
556,0.09764035
557,0.09764064
558,0.09765112
559,0.09765529
560,0.09764848
561,0.09766145
562,0.09764286
563,0.09766456
564,0.09769483
565,0.09765174
566,0.09765227
567,0.09764398
568,0.09764912
569,0.09765808
570,0.09765671
571,0.09766896
572,0.09766597
573,0.09764783
574,0.09767768
575,0.09765755
576,0.09768301
577,0.09766611
578,0.09764803
579,0.09765525
580,0.09766707
581,0.09765477
582,0.09766014
583,0.09765683
584,0.09765103
585,0.09764004
586,0.09766948
587,0.09764043
588,0.09764979
589,0.09766226
590,0.09765746
591,0.09765600
592,0.09763427
593,0.09766644
594,0.09765785
595,0.09766566
596,0.09766013
597,0.09764526
598,0.09765832
599,0.09765518
600,0.09767153
601,0.09764785
602,0.09764348
603,0.09766208
604,0.09765232
605,0.09765956
606,0.09763990
607,0.09764889
608,0.09764486
609,0.09765480
610,0.09765241
611,0.09766842
612,0.09764995
613,0.09765823
614,0.09765825
615,0.09765395
616,0.09764852
617,0.09766543
618,0.09764236
619,0.09765824
620,0.09765042
621,0.09763898
622,0.09766321
623,0.09766390
624,0.09765785
625,0.09763417
626,0.09765147
627,0.09764081
628,0.09765218
629,0.09765649
630,0.09767726
631,0.09764886
632,0.09766710
633,0.09765276
634,0.09767403
635,0.09763544
636,0.09765024
637,0.09766859
638,0.09766925
639,0.09764372
640,0.09768270
641,0.09765999
642,0.09767940
643,0.09765952
644,0.09766566
645,0.09766087
646,0.09764602
647,0.09765288
648,0.09764912
649,0.09767055
650,0.09762601
651,0.09764459
652,0.09764522
653,0.09765051
654,0.09763624
655,0.09763941
656,0.09763881
657,0.09765426
658,0.09762862
659,0.09764979
660,0.09765265
661,0.09765326
662,0.09765136
663,0.09766443
664,0.09766909
665,0.09765737
666,0.09766032
667,0.09766308
668,0.09765474
669,0.09764590
670,0.09764096
671,0.09764667
672,0.09762702
673,0.09764962
674,0.09766823
675,0.09764132
676,0.09765667
677,0.09764689
678,0.09764156
679,0.09763981
680,0.09765766
681,0.09765139
682,0.09766091
683,0.09764831
684,0.09766587
685,0.09766296
686,0.09767058
687,0.09767506
688,0.09765690
689,0.09765546
690,0.09765513
691,0.09766466
692,0.09765423
693,0.09765542
694,0.09764979
695,0.09764938
696,0.09763420
697,0.09766591
698,0.09766716
699,0.09765477
700,0.09766077
701,0.09764817
702,0.09765911
703,0.09764910
704,0.09765578
705,0.09765851
706,0.09764108
707,0.09766831
708,0.09767053
709,0.09764762
710,0.09763298
711,0.09766079
712,0.09763313
713,0.09765662
714,0.09765604
715,0.09768538
716,0.09764157
717,0.09766160
718,0.09765402
719,0.09766670
720,0.09765598
721,0.09764151
722,0.09764222
723,0.09763973
724,0.09767468
725,0.09765959
726,0.09764977
727,0.09764044
728,0.09766078
729,0.09766930
730,0.09766269
731,0.09763111
732,0.09766772
733,0.09764565
734,0.09765578
735,0.09765225
736,0.09765041
737,0.09765267
738,0.09766371
739,0.09765831
740,0.09765076
741,0.09765720
742,0.09763846
743,0.09763017
744,0.09765937
745,0.09767390
746,0.09765917
747,0.09764933
748,0.09766326
749,0.09764217
750,0.09764543
751,0.09767001
752,0.09767259
753,0.09760817
754,0.09765372
755,0.09767265
756,0.09764752
757,0.09765946
758,0.09765046
759,0.09763197
760,0.09766255
761,0.09763605
762,0.09764154
763,0.09766218
764,0.09766796
765,0.09766354
766,0.09764376
767,0.09768766
768,0.09766109
769,0.09766018
770,0.09764188
771,0.09766542
772,0.09765573
773,0.09764927
774,0.09764008
775,0.09764411
776,0.09766900
777,0.09765283
778,0.09763684
779,0.09765464
780,0.09765778
781,0.09766544
782,0.09763692
783,0.09764949
784,0.09763661
785,0.09767892
786,0.09766560
787,0.09767286
788,0.09764995
789,0.09765087
790,0.09766244
791,0.09765226
792,0.09765151
793,0.09764561
794,0.09767841
795,0.09765494
796,0.09765799
797,0.09764156
798,0.09767697
799,0.09767985
800,0.09765965
801,0.09764985
802,0.09766574
803,0.09766728
804,0.09766225
805,0.09766405
806,0.09765155
807,0.09766906
808,0.09765396
809,0.09768229
810,0.09764139
811,0.09765694
812,0.09766079
813,0.09764782
814,0.09767205
815,0.09765635
816,0.09763205
817,0.09766062
818,0.09766512
819,0.09765200
820,0.09766875
821,0.09764389
822,0.09766258
823,0.09762792
824,0.09765190
825,0.09768474
826,0.09763368
827,0.09766206
828,0.09763684
829,0.09763538
830,0.09763302
831,0.09766181
832,0.09765462
833,0.09766461
834,0.09766393
835,0.09766807
836,0.09765021
837,0.09764066
838,0.09766299
839,0.09765695
840,0.09765168
841,0.09766919
842,0.09766653
843,0.09764780
844,0.09768086
845,0.09764802
846,0.09767656
847,0.09766075
848,0.09767563
849,0.09766100
850,0.09763517
851,0.09767521
852,0.09767288
853,0.09765897
854,0.09764886
855,0.09766923
856,0.09766738
857,0.09764181
858,0.09764052
859,0.09766227
860,0.09766335
861,0.09765262
862,0.09766202
863,0.09765871
864,0.09764759
865,0.09767661
866,0.09766857
867,0.09765264
868,0.09765804
869,0.09764802
870,0.09767211
871,0.09766452
872,0.09763072
873,0.09762474
874,0.09764077
875,0.09764437
876,0.09765496
877,0.09765247
878,0.09765576
879,0.09765194
880,0.09767724
881,0.09766966
882,0.09767122
883,0.09765394
884,0.09766549
885,0.09765169
886,0.09766188
887,0.09765203
888,0.09766922
889,0.09762989
890,0.09764997
891,0.09767951
892,0.09767636
893,0.09765287
894,0.09765856
895,0.09765652
896,0.09763326
897,0.09765348
898,0.09768006
899,0.09767948
900,0.09765524
901,0.09766091
902,0.09767264
903,0.09766646
904,0.09765413
905,0.09767411
906,0.09764916
907,0.09765173
908,0.09763506
909,0.09768141
910,0.09765050
911,0.09762161
912,0.09766448
913,0.09765567
914,0.09767694
915,0.09765994
916,0.09766682
917,0.09764286
918,0.09765976
919,0.09765315
920,0.09767848
921,0.09765035
922,0.09764751
923,0.09765091
924,0.09764849
925,0.09767530
926,0.09763884
927,0.09764310
928,0.09766366
929,0.09765172
930,0.09767961
931,0.09767997
932,0.09764371
933,0.09765139
934,0.09765525
935,0.09765206
936,0.09767334
937,0.09766633
938,0.09767435
939,0.09765718
940,0.09767028
941,0.09766371
942,0.09765934
943,0.09764094
944,0.09766604
945,0.09765562
946,0.09766330
947,0.09767493
948,0.09764473
949,0.09764878
950,0.09767401
951,0.09764083
952,0.09764817
953,0.09765175
954,0.09765618
955,0.09765578
956,0.09764295
957,0.09765181
958,0.09765895
959,0.09765605
960,0.09766311
961,0.09765038
962,0.09765170
963,0.09765765
964,0.09763207
965,0.09765558
966,0.09764768
967,0.09766896
968,0.09765070
969,0.09766084
970,0.09766785
971,0.09765808
972,0.09766132
973,0.09763671
974,0.09766850
975,0.09764529
976,0.09764996
977,0.09765690
978,0.09767115
979,0.09764206
980,0.09762985
981,0.09765084
982,0.09765544
983,0.09765557
984,0.09766702
985,0.09764777
986,0.09764406
987,0.09764425
988,0.09765783
989,0.09767654
990,0.09767142
991,0.09764886
992,0.09764228
993,0.09766553
994,0.09766637
995,0.09766102
996,0.09764218
997,0.09764025
998,0.09765233
999,0.09764468
1000,0.09764878
1001,0.09766177
1002,0.09766805
1003,0.09765974
1004,0.09765302
1005,0.09766492
1006,0.09766341
1007,0.09763215
1008,0.09764469
1009,0.09767746
1010,0.09768137
1011,0.09765287
1012,0.09767777
1013,0.09763783
1014,0.09765925
1015,0.09765419
1016,0.09766732
1017,0.09764791
1018,0.09766403
1019,0.09764191
1020,0.09767698
1021,0.09763082
1022,0.09766365
1023,0.09766700
